path,caption,label
111537217_082a4ba060.jpg,A man climbing a rock wall,0
534886684_a6c9f40fa1.jpg,A man is walking a dog on a leash down the street,1
2661138991_d55aa0e5dc.jpg,A GI relaxes and waits at an airport .,2
2560278143_aa5110aa37.jpg,A beagle is playing in the grass .,3
3744832122_2f4febdff6.jpg,A boy pitches in a baseball game .,4
2689491604_d8760f57b4.jpg,a boy in an inflatable pool is being splashed with water .,5
3176968956_d942a93513.jpg,A man in black swimming gear parasails .,6
2887798667_ce761d45e8.jpg,A guy doing a wallride on his bike,7
1643915227_9f48068772.jpg,A group of people are walking down the sidewalk of a big city .,8
2539933563_17ff0758c7.jpg,A person standing on the sidewalk near a large gathering of people at a tent .,9
2782480767_064c95eff2.jpg,A girl holds her breath underwater in a pool .,10
3141293960_74459f0a24.jpg,A man in a red shirt is doing a trick with his skateboard .,11
2792409624_2731b1072c.jpg,A black and white dog is drooling whilst walking on the grass .,12
2584957647_4f9235c150.jpg,A dog is wading through deep water while holding a stick .,13
2453971388_76616b6a82.jpg,Two girls running through pool while water sprays over them,14
1917203130_fcaff8b10e.jpg,A child at an exhibit .,15
824123145_59243e504e.jpg,People walk outside on a wooden walkway .,16
2432061076_0955d52854.jpg,A brown dog runs through the water on a beach .,17
3631474374_e40764d153.jpg,a group of people are holding a metal frame over a wooden floor .,18
358559906_d5f3f584f4.jpg,A girl in a pink jacket is walking through a large puddle .,19
428408242_b32faf2240.jpg,A brown and white dog is jumping with a red Frisbee in its mouth .,20
3338474677_7376e426c2.jpg,A bald man in a tank top riding bike through a city .,21
3331900249_5872e90b25.jpg,A man with the Monster logo shirt is surfing .,22
2591110592_ef5f54f91c.jpg,A child holding a dress that another child is looking at .,23
3025513877_1a6160070d.jpg,A boy in a hat stands barefoot at the edge of a body of water .,24
2839807428_efe42423f2.jpg,A collie catches a white Frisbee at an obedience competition .,25
47871819_db55ac4699.jpg,A soccer player in blue is chasing after the player in black and white .,26
2404692474_37da774368.jpg,A dog chasing a toy duck .,27
3209620285_edfc479392.jpg,Two men at the beach twirl sticks with fire at the ends .,28
3661239105_973f8216c4.jpg,A boy hanging from a jungle gym,29
3415287719_3c776f370e.jpg,Two girls are jumping high in the air .,30
1350811702_2ce7cfd0c5.jpg,A young boy casting his fishing line off a pier,31
1055623002_8195a43714.jpg,A group of four children wearing pajamas have a pillow fight .,32
2867026654_38be983b44.jpg,A brown dog about to catch a green Frisbee .,33
3169777863_d745865784.jpg,A group of dancers wearing black spandex are dancing in a studio .,34
3387661249_33e5ba0bc5.jpg,"A black horse stands in the grass at a fence , while a brown dog looks on .",35
2665264979_df9c284bf8.jpg,A girl begins to wade through deep grass that covers a stone structure on a coastline .,36
2380765956_6313d8cae3.jpg,A blond girl wearing a green jacket walks on a trail along side a metal fence .,37
3134341610_3c55e373a7.jpg,A man and woman in masks and costume make a toast in front of a christmas tree .,38
3497224764_6e17544e0d.jpg,A woman in red shorts is writing on a tablet .,39
2676648667_cb055b4fc6.jpg,A woman is sitting in a chair near a brick building .,40
2991575785_bd4868e215.jpg,A girl doing a kick near a woman .,41
543102698_38e7e38bbc.jpg,A little boy in a red shirt plays with a park telescope while a girl in a pink skirt watches .,42
3354200211_35348e47d8.jpg,A bunch of people walking down the street .,43
3616808182_fb4eaec778.jpg,A biker in protective gear is riding through a countryside with cliffs .,44
2384147448_c1869070d3.jpg,A light brown colored dog is playing ball with a redish brown colored dog in a fenced in area .,45
1469358746_2a879abaf3.jpg,A man and his dog in the mountains .,46
